screen_name,text,polarity,,,
mapascarlett,“@strawfaerie: i'm never going to want anything more than to wake up to your voice and fall asleep to your kisses”,negative,,,
meena_____,“@Super_Brentendo: @InternetSheezy @meena_____ she part of a suicide pact or some shit now I dont even know.” Am not  I'm CRUTE,negative,,,
SamMadden_,"“@TheRunnerProbs: ""The only good race pace is suicide pace, and today looks like a good day to die""... Steve Prefontaine” #presperation",positive,,,
keyana05,“@tiffanyrosemil2: Imma end up sleeping my life away”,negative,,,
KatTheGiraffe,"“@ummmdaisy: ""@KatTheGiraffe: ""@ummmdaisy: Kathy wants to die"" you be talking but not swinging"" fight me” after seminar ",negative,,,
That_Dude_SBE,“@Workaveli In what movies do Terrence Howard die? I want to watch them” #darkskinnedniggatweet,negative,,,
jaysemmi777,“@Yendor_Elli: Word “@IH8UHOES: Pls go back to sleep forever man ......... RT @KingDarez__ I woke up like dis  https://twitter.com/IH8UHOES/status/436284305296220160/photo/1pic.twitter.com/GAH1pKUO3A ””,positive,,,
Ggirl_quote,"“A wise woman once said that every morning when you wake up you say a little prayer. After all, you never know what your day may hold.”",negative,,,
Shaerozee,“I can tell you better off without me ”,negative,,,
ADiscoFish,"“I wouldn’t kill myself unless my life was like… AFRICAN shitty.”
-Kid in my class",negative,,,
alinamora02,"“I’m taking back my freedom! FOR I’M SICK AND TIRED OF LIVING LIFE UNDER YOUR WINGS! I’m breaking lose, to be FR... http://ift.tt/1gRACDp ",negative,,,
TanerMikel,"“The population in the US is about 60% female, so a lot of you women are going to die alone. Keep that in mind next time you get my text...”",negative,,,
BrandonRemy,"“The population in the US is about 60% female, so a lot of you women are going to die alone. Keep that in mind next time you get my text...”",negative,,,
_forevagutta,"“When you're young and healthy you can plan on Monday to commit suicide, and by Wednesday you're laughing again.”",positive,,,
nooelia,"?Friends?
#girls #love #night #together #forever #sleep #instasnap #picoftheday http://instagram.com/p/lS7VLkjcL0/ ",positive,,,
nyx00,"<Eats 3 hotpockets>
This is my suicide note.",negative,,,
KujMaPioj,>_< People posting Suicidal Statuses ._. Stop ! Or the cause of your death will be by me and not of a suicide  ..... http://fb.me/3nt2mDn3y ,negative,,,
rachaelfox_,1 half of the best duo in my life...this whole challenge might just end up being pictures of Steph and… http://instagram.com/p/ldhkxWL-g7/ ,positive,,,
Lorrr5,10 more minutes and I can go home an sleep forever and not waking up until my car is fixed.,negative,,,
boger5josh,10 seconds ago you were just begging me to stay and now your acting like your better off without me. Get over yourself,negative,,,
thatkidemma,11. The stretch marks I left on my mother at birth will not be another suicide letter I never finished,negative,,,
asherif_,11. The stretch marks i left on my mother from birth will not be another suicide letter i never finished,negative,,,
StoddardDerek,2-day training class on 2 beautiful days. I've already made a murder-suicide pact. @FireFighterProb,positive,,,
juicyjen14,"3- I'm so glad ur back in my life, I've missed u so much. I love u more than anything &ill have ur back until the end of time. 4ever friends",positive,,,
moveddddddd_,9 días para lo que sería tu cumpleaños mi dulce Harrison. Let me die alone. pic.twitter.com/1G8lRJ4qBA,positive,,,
kaymonet___,"A female will hear the ""Love"" word & be ready to jump out they panties .",positive,,,
SymoneRae,"A good friend told me to chase success & the right people will end up in my life. So, that's just what I plan to do.",negative,,,
Rev_Ball,"A letter to my 12 year old self: Sorry buddy, 22 years later and you still suck at suicide sprints. #fitness",negative,,,
carleyannburns,A life without avocados is a life not worth living,negative,,,
RachelKindsvatt,A life without bloody marys is not a life worth living,negative,,,
xXyardmeatXx,A life without Tom Hank is not a life worth living,negative,,,
davidewynn,"A lot of things(people) seem to be getting on my nerves tonight.
I'm sure the new Walking Dead episode will cheer me up though.",positive,,,
jhanzirella,A man is born alone and dies alone; and he experiences the good and bad consequences of his karma alone; and he goes alone to hell.,negative,,,
fckimtrash,a suicide letter in my hand..,negative,,,
smolgaybanshee,About ready to jump up on this stage near me and sing #Nasty to my fellow Americans @pixielott #nastyoutatmidnight,negative,,,
dxelicate,about to plan my suicide date and suicide letter and all that stuff.,negative,,,
Meghaleg04,"According to Kacy Musgraves, I'm going to die alone. #21 #nokids",negative,,,
TeAmare_Forever,After I'm done talking to bestie I guess I'll go to sleep !,positive,,,
Loveskinnyyou,"Afterall, Everybody would be much better off without me. Right?",negative,,,
FirstPickCee,"Aha I need to seperate myself to stand out..
Hmmmm I need to find a way to take yo fans now...
Gotta kill you muhfuckas dead NOW !",negative,,,
ShinnxD,"ahhh but i love suicide silence so much D:
really wanted to say them live with mitch......",positive,,,
rachaelgarcia45,All i remember was the docter came in at like 3 am and talked for like ugh forever and still didnt go to sleep,negative,,,
HALEEYBITCH,All I wanna do is drink this NyQuil and sleep forever,negative,,,
morgie29,All I wanna do is sleep & never wake up,negative,,,
dunisayno,All I want is nothing more / To hear you knocking at my door / 'Cause if I could see your face once more / I could die a happy man I'm sure,negative,,,
BabyKelley42,All I want to do is sleep forever,negative,,,
CJW6893,All I want to do is sleep forever,negative,,,
Monet_Griffen,"All I want you to do is hold it down for me , want you to be my ride or die",negative,,,
alishazoe,All Men Must Die! Game of Thrones returns to @SkyAtlantic on 07/04/2014 but I want to see it first! Thanks @showmasters #NFCCGoTseason4Comp,negative,,,
MeskitaOfficial,"All that is important is this one moment in movement. Make the moment important, vital, and worth living. Do not... http://fb.me/6Elr1Aap7 ",negative,,,
ms_1i1_ang31,"all the things that held me down, my drinking, my eating, depression, suicidal thoughts, worthless thoughts, financial mess.",negative,,,
HeavyYoung_,Allan Gone Say Talk To My Man Parrish Again Ctfupp  That Will Be The Day Whaaa Dat Been Dead,negative,,,
caaparker_,ALLL these years that I known my bff and I NEVER seen him cry .. he told me he wanna go to sleep and NEVER wake up !!! Stg I cant deal,negative,,,
jatmartinez_,Alone to die,negative,,,
Kayluuuhkaykay,"Alone......""@justinftbeyonce: “@drugmoneybieber: die he doesn't have an A songs https://twitter.com/drugmoneybieber/status/437735241596538880/photo/1pic.twitter.com/wHTGRPA2yi ” as long as you love me.....”",negative,,,
2chainzo,"am browned off folks,can we sign a suicide pact besides we'll sublime to heaven direct coz we're not skollies??!!!",negative,,,
R_Blackburn14,am I better off dead or am I better off a quiter,negative,,,
rainstormlirry,"am i better off dead, am i better off a quitter",negative,,,
daytripper____,am I better off dead? am I better off a quitter?,negative,,,
migueligan,Am I better off dead? Am I better off a quitter?,negative,,,
carolineeet,am I better off dead? am I better off a quitter?,negative,,,
THuff2120,Am I better off dead? Am I better off a quitter? They say I'm better off now than I ever was with her...,negative,,,
haylsmartin_,"Am I better off dead?
Am I better off a quitter?
They say I'm better off now",negative,,,
nehme09,Am I really about to start breaking bad and end my life :/,negative,,,
tattooIessboy,am i the only one single in this world everyone seems to have girlfriends or boyfriends oh god i'm going to die alone,negative,,,
mr_mascana,am tired of living under your aegis...great things happens from inside not outside.,negative,,,
juuani729,Amba Shepherd - Wake Me Up Avicci -  In My mind (Axwell mix) - I need your love (Feat - Calvis Harris) -Never say Goodbye (Original Mix),positive,,,
Swag2Nificent,"An example of why the suicide rate is high among black couples. ""@VirginAssNigga: THIS BITCH IS ANNOYING https://twitter.com/VirginAssNigga/status/435200699010646017/photo/1pic.twitter.com/8TljPqLMys """,negative,,,
kbeesylva,An un examined life is not worth living,negative,,,
willamhomer,An un examined life is not worth living,negative,,,
ColinStevens12,An unexamined life is not worth living - Socrates,negative,,,
processwork,"An unexamined life is not worth living, but if all you do is examine, then you are not living.
Enjoy life, have fun and also bring awareness",negative,,,
harunabakarii,An unexamined life is not worth living.,negative,,,
Noel_Elie,An unexamined life is not worth living. – #Socrates,negative,,,
benjajoel_,An unexamined life is not worth living. ~Socrates~,negative,,,
Tinkerbell8976,An unexamined life is not worth living. –Socrates,negative,,,
Iqbal_iqbal_13,An unexamined life is not worth living. –Socrates,negative,,,
healthyliveID,An unexamined life is not worth living. –Socrates,negative,,,
Iqbal_iqbal_13,An unexamined life is not worth living. –Socrates,negative,,,
CharityIdeas,An unexamined life is not worth living. –Socrates,negative,,,
Gusmarizal1,An unexamined life is not worth living. –Socrates,negative,,,
jaygeauthor,An unexamined life is not worth living. –Socrates,negative,,,
EkoFajrimas343,An unexamined life is not worth living. –Socrates,negative,,,
ranggaYAN_,An unexamined life is not worth living. –Socrates,negative,,,
MHCConsulting,An unexamined life is not worth living. –Socrates,negative,,,
GaleriGarnisha,An unexamined life is not worth living. –Socrates,negative,,,
MicahMedina,An unexamined life is not worth living. –Socrates,negative,,,
Iqbal_iqbal_13,An unexamined life is not worth living. –Socrates,negative,,,
jessicuhperks,"and die with a smile, don't show the world how alone you've become.",negative,,,
Arthurkrbot,"And don’t make the jump too soonthat
kick is our only way back, we
have to be ready to catch it-",negative,,,
henriqerodrigo,And everyone lives to tell the tale of how we die alone some day,negative,,,
Stirvax,And here is my world. This is where my life begins and ends... Zahid! I never knew how happy a person… http://instagram.com/p/lTPDx-Oi27/ ,negative,,,
Squash742,"And if you go 
I want to go with you
And if you die 
I want to die with you",negative,,,
basmahanyy,"And if you were a dream, I would sleep forever.",negative,,,
Jo_Brgs,"And just like that my life is broken, i can barely breathe, and now I'm opened for suggestions, at the end of the day lifes a lesson",negative,,,
itsocean03,And maybe never wake up,negative,,,
bean04,"And of course, the brilliant, ""Erith isn't twinned with anywhere but it does have a suicide pact with Dagenham.""",positive,,,
MissesBandzz,"And the crap keeps piling on, I'm tired of living in bad news city",negative,,,
missy_go,"And the dead in Christ will rise first.Then we who are alive, who are left, will be caught up together with them",negative,,,
trishapaytas,"and though I used to care, I need the open air. you're better off without me, Mein Herr ;)",negative,,,
deebaiden_xo,and whenever I say I'll wake up early and do the work it never happens,negative,,,
jb_king19,"Anyone who feels like they wanna harm themselves or commit suicide, remember GOD loves you and has a plan for you in this world",negative,,,
annaadaviss,anything church related is my suicide note,negative,,,
TheHighCorp,Apparently my car's battery and starter long ago made some sort of murder-suicide pact,negative,,,
makkiblue,"Are you ready to jump
Get ready to jump",positive,,,
EveSticky,Are you ready to Jump?  #Madonna #madonnacollection #Jump #confessionsonadancefloor http://instagram.com/p/lddxENEQBN/ ,positive,,,
Drewz_Andrews,Aren't u tired of living off Potential??.. Go make it happen!!,negative,,,
ArmandoAnchondo,As I kiss my Lil sister on the cheek and tell her I'd be better off dead,positive,,,
indieziall,ashely bullies me I'm writing my suicide letter,negative,,,
cutter78,"Assisted suicide is my retirement plan ,for when I just can't arsed anymore",negative,,,
supremestate_,At least we fell in love with something greater than debating suicide...,positive,,,
jrbeentrappn,At Tha End Of Tha Day Its My Life I Gotta Learn From My Mistakes,negative,,,
ErzaLanaDelRey,At the end of the day I ask was the world a better place cause I was in it or would it have been better off without me? @lanadelrey,negative,,,
KESHIALEE_,At this point I'm really ready to tell my professor to go and jump off a cliff.,negative,,,
Nyce_FreeBallin,aww shit the Muslims gettin ready to jump me,negative,,,
XackeeBono,Baby. Lets go to sleep. I love you sooo very much! Now always until forever. #SimsFreePlay. @IckieeBoey,positive,,,
ddenisefoo,Babysitting instead of studying what a great suicide plan,positive,,,
be24inspired,Banged out Day 1 today. Jump in if you are ready to take those #abs to the #nextlevel. Here we… http://instagram.com/p/kfuR22MXbO/ ,positive,,,
PxrfectlyAshton,"Bc I can make that go faster, I could commit suicide and no one would know about my plan except for you guys...",negative,,,
DrRobertRadio,Be not afraid of life. Believe that life IS worth living and your belief will help create the fact. - James Truslow Adams,negative,,,
RobertPease,Be not afraid of life. Believe that life IS worth living and your belief will help create the fact. - James Truslow Adams,negative,,,
RobertPeaseIntl,Be not afraid of life. Believe that life IS worth living and your belief will help create the fact. - James Truslow Adams,negative,,,
iamDBickham,Be ready to jump on a innocent victim lol,negative,,,
annabelle404,Bed is never comfy when you need to sleep. Bed is ridiculously comfy when you need to wake up.,negative,,,
justcallmewock,Been sleep forever,negative,,,
abunchofBShirez,Before I die I want to be initiated into the white girl mob,negative,,,
KateBauer322,Before I die I want to go dog sledding in Alaska or Canada with my Pappa.,negative,,,
Lifeofander,Before I die I want to LIVE.,negative,,,
GerhardineLawre,Before I die I want to make a difference in someone's life.,negative,,,
AhmedTallab,Before I die I want to pic.twitter.com/z4QovSvDFC,negative,,,
KoreSilverstein,"Before I die, I just want to make my parents happy and proud of me.",positive,,,
MallissaHookins,"Before I die, I just want to make my parents happy and proud of me.",positive,,,
CJPoxon93,"Beginning to take risks in my life cuz in the end you realise ""whats the worst that could happen"" need just let things go #JustLive #MoveOn",negative,,,
suicidesecrets,Being suicidal sucks,negative,,,
valtxj,"bestfriend left me and im sure is better off without me too. so, what makes you think that me leaving won't do you good",negative,,,
CBeannjr,Better off dead,negative,,,
ezg_____,Better off dead,negative,,,
Kikko21,Better off dead,negative,,,
Dvll,Better off dead,negative,,,
ChasingMyPaper,Better off dead :( :(,negative,,,
80sQuotes,BETTER OFF DEAD Charles: This is pure snow! It's everywhere! Do you have any idea what the street value of this mountain is?,negative,,,
ElevatedIke,Better Off Dead like the title of my work,negative,,,
real_kiki_997,"Better off dead, prepare for the worse",negative,,,
Ronaldo_lulaj,Better off without me,negative,,,
_juuum,better off without me,negative,,,
_SpeakingofDeDe,Better off without me,negative,,,
instagryles,better off without me in their lives,negative,,,
Emptysquare,Big Bang Theory just got renewed for three more seasons. This is my suicide note by the way.,negative,,,
OriginalKingD,"Bleach is the worst anime to run this long. The Bleach anime should plan a murder suicide with the manga, then we can all live happily.",negative,,,
umitsjami,block someone if they are trying too start a fight with you. it's not worth it. just move on and keep living your life.,negative,,,
ugIychris,Bored as shit atupid as fuck bout to kill ur bitch and proud of myself,negative,,,
babykobe2013,Born Alone and Will Die Alone...Its Only One Me In This Life!,negative,,,
wildboy_lilman,Born alone die alone duh !!!,negative,,,
j_hitzmusik,Born alone die alone focus on whats important,negative,,,
Mossy133,Born alone die alone.,negative,,,
Erik_Jones08,"Born alone, die alone",negative,,,
KurdsEye,"born alone, die alone, no matter how great and perfect you think you are, we're here on a loan and will leave alone.",negative,,,
SparkssEnt,"Born alone, die along coz that's what mum said, your coffin didn't come with a bunk bed!",negative,,,
Hex3507,Born alone..they all die..you'll never c it coming..,negative,,,
sailorchoon,breaking bad wont work and school tomorrow and then a fucking feis ugh i want to die :(((((((((((((((((((((((((((((((((((((((((((,negative,,,
FinnySkat,"Broken gps in my head, losing my direction, figures I'm better off dead.",negative,,,
whiteboy_fetish,Brook ima be so mad when my phone go dead,negative,,,
Most_Fly702,Bruh this weather got me ready to almost jump in the pool,positive,,,
PN_Bartman,Bus driver on a suicide plan but also includes us passengers in it #tokyodriftkindafast,negative,,,
Deesive_Baby,but im not the only one that wants to be with her now im the typical nigga trying to get what was mine back man i kill myself inside.,negative,,,
stelllx,"But in the end, I'm glad to say you were in my life",positive,,,
KayleeRose6,"But it's the little things, the little things not expectation That make life worth living, #JJGreyMofro #TheSunIsShiningDown",negative,,,
JusCoo_LYNN,"But seriously though. If it that Justin legal race change was real, I would be dead.",negative,,,
sunkissedhao,but then again why would they be grateful to have me when they're better off without me,negative,,,
Chloe_K_Ross,"But you don't need me, oh, better off without me, oh oh",negative,,,
laneighpfalser,Can I just go to sleep for the rest of forever? #tiredismypersonality,negative,,,
_Alex_Cantu_,Can i just go to sleep forever but not be dead,negative,,,
robynedges,"Can I just go to sleep forever or naw, if be comfortable and never have to deal with anyone again  comfortable and alone",negative,,,
m1ndfvckk,Can I just go to sleep.. Forever.......,negative,,,
cassDomanico,can i just sleep forever,negative,,,
xasc_,"Can I just sleep forever,",negative,,,
Xo_fadedd,"Can I sleep , forever .",negative,,,
jamessellers14,Can I sleep and never wake up?,negative,,,
BeccaMoser51011,can I sleep forever.?,negative,,,
Randi_Rau,Can't erase or numb the pain Im so tired of being confused Breathing in Breathing out Ain't that what it's all about? Living life crazy loud,negative,,,
finessszn,"cant take the cyber bullying anymore gonna kill myself, dm me if you still care :(((",negative,,,
BigHerman23,Can't wait to watch the walking dead tomorrow night. @red_feather231 would be so proud of me finally haha,positive,,,
ada_enechi,"casually got ready for bed, snuggled up in my duvet, only to jump and realise i haven't even touched my script for tomorrow @ShanWrightUK",negative,,,
dee_murphh,Cause I plan to kill myself tonight,negative,,,
selfhelp45,"Cause really, I just want to kill myself.",negative,,,
ShaneH_10,"cause Sunday's are my suicide days,
I don't know why they always seem so dismal, 
Thunderstorms clouds snow and a slight drizzle",negative,,,
Ria_Musiawan,Checking your email.. “@HuffPostStyle: The 1 thing super successful people NEVER do right when they wake up http://huff.to/1f0u4n9 ”,positive,,,
lewisxingram,cheers mum just kill myself now then shall i pic.twitter.com/PIgEwOPfPe,positive,,,
Obey_DaQueen,"Child: im chillin
My sister: you finna be chillin on some ice after I whoop yo ass
Im dead",positive,,,
nela_bear,"Comatose, I'll never wake up without an overdose of you",negative,,,
dcpresscd,consider my account part of my suicide letter,negative,,,
carleyR17JL,"Constantly saying: ""Life is not worth living"" while crying @ArianaGrande",negative,,,
leesha_williams,Could honestly sleep forever,negative,,,
clodaghjkiely,could sleep forever,negative,,,
RyanStreet3,Cowards die alone,negative,,,
TrainByTweet_CT,"Craftsmanship: To know that any life which does not provide the opportunities for service is not worth the living, and that any life, ...",negative,,,
ColorlessCanine,"Cut the thread today.
She's better off without me",negative,,,
Piggsk8r,cuz I know hes much better off without me and my tears and feelings never meant a thing to him :'/ http://pinterest.com/pin/350999364680460539/ …,negative,,,
Bloodhound_que,Damn I feel like I been sleep for forever,negative,,,
NaeNersss_98,damn i swear i can sleep forever,negative,,,
ZayNevarez,Damn it took forever for me to go to sleep last night lol,negative,,,
matthewsleasman,Dead lifts will be the death of me,negative,,,
TuskyFootball,Dead period is over! Weight room will be open tomorrow morning at 7:30! Be ready to work!,positive,,,
bsquiat,"dear future boyfriend,
 hurry up before I die alone",negative,,,
staystrong_gurl,Decided that today I will starve myself and plan my suicide,negative,,,
taylortripp14,deciding to read les mis ruined my life this book never ends,negative,,,
NathalyAlarcon1,"Después de la muerte de lucker , ahora todos son hay mitch , ahora todos dicen ""aman"" suicide silence . Después de su muerte :c",positive,,,
Nat_Yessenia,Did she really have to be dead   #JenniRivera,negative,,,
ttxao,Did you hear? School's cancelled because Kurt and Ram killed themselves in a repressed homosexual suicide pact.,negative,,,
TheNerdinaSkirt,Discussion about the Prioritized Research Agenda for Suicide Prevention.  Excited to be a part of this plan. #AFSPForum14,positive,,,
nateturbow,DJing tonight at the Beauty Bar in Manhattan. Showing Better Off Dead & Superman II. Come hang. pic.twitter.com/p2PGtC3Hbh,positive,,,
wayfaering,"do you ever feel like you're not suicidal but if you spontaneously died, you'd be okay with it?",negative,,,
TotallyUniqueid,Do you want to wake up every morning excited about your life http://ow.ly/tcqcw  The right time will never be there until we make it!,positive,,,
StaaceyWebber,"Don’t u cry for the lost, Smile for the livin, Get what u need&give what youre given, Lifes for the livin so live it, Or ur better off dead",negative,,,
csealee,"Dont cry for the lost smile for the living
get what you need&give what youre given lifes for the living so live it or youre better off dead",negative,,,
KyleAnderson5,Dont even know some of them nomore the coked numbed em no suicide note from em RT @KennyOrjioke: misery took my boys' hope's from them.,negative,,,
ymntwana,"Don't knw if its stupidity or bravery or maybe its suicide bt I'm rolling with my plan A no plan B or C,and dats u baby u my plan A!",negative,,,
mayday_hollie,"DONT SAY IM BETTER OFF DEAD 
CAUSE HEAVES FULL AND HELL WONT HAVE ME
WONT YOU MAKE SOME ROOM IN YOUR BED",negative,,,
chlxedaniella,"Dont say im better off dead , because heaven's full && Hell wont have me",negative,,,
Copvcetic_,Don't say I'm better off dead cause heavens full and hell won't have me,negative,,,
micahmoo002,Don't say I'm better off dead cause heavens full and hell won't have me.,negative,,,
wish1ngwell_,Don't say I'm better off dead 'cause heavens full and hell won't have me.,negative,,,
kelseistevenson,"Don't say I'm better off dead, because heavens full and hell won't have me",negative,,,
bmthlyrics0,"don't say i'm better off dead, cause' heavens full and hell won't have me",negative,,,
secretsx0,"Don't say I'm better off dead, 'cause heaven's full and hell won't have me",negative,,,
alexxconnolly,"Don't say I'm better off dead, 'cause heaven's full and hell won't have me",negative,,,
KylieBolen,"Don't say I'm better off dead, 'cause Heavens full and Hell won't have me.",negative,,,
MuchClassier,"Don't say I'm better off dead, 'cause heaven's full and hell won't have me.",negative,,,
LipsOfDeceit_,"Don't say I'm better off dead, 'cause heaven's full and hell won't have me. 
#bringmethehorizon #bmth… http://instagram.com/p/kxqPeLAe8G/ ",negative,,,
fruitycolors1,"Don't say I'm better off dead, 'cause heavens full and hell won't have me. Won't you make some room in your bed?",negative,,,
birdcagedangels,"Don't say I'm better off dead, cause heavens full, and hell won't have me.",negative,,,
awalkingdeniaI,"Don't say I'm better off dead, 'cos Heaven's full and Hell won't have me",negative,,,
imlilleth,"Don't say I'm better off dead,
'Cause heaven's full and hell won't have me.
Won't you make some room in your bed?",negative,,,
all_in_bloom_,Don't say I'm better off dead. 'Cause heaven's full and hell won't have me,negative,,,
tildaturtle,"Don't say you're better off dead, cause heavens full and hell won't have me",negative,,,
TitiNeverFails,"Don't want my haters to die, they must live to see me glow",negative,,,
RnRTheRapStar,Drake the type of nigga to eat two gummy bears so they won't die alone.,negative,,,
gyulsyoh,dream school UP with matching suicide effect no plan B bc im dumb,negative,,,
PhotosByPanda,Dude I'm reading Perks of being a wallflower while I wait for my mom so we can leave. The suicide letter poem part  aww.,negative,,,
__PrettySunny,Eania have me dead & we don't even know what we be laughing at,negative,,,
danielaibher,"Eché baguette de subway, can die alone.",negative,,,
bmcgowan92,Eminem set to have a mini US Tour with Rihanna in August. If don't see him I will kill myself lol,positive,,,
jongingasms,End of my life bye pic.twitter.com/IIbf22pH4P,negative,,,
_DejaMeChelle,Ericka Janel & Amani Qiana are taking forever imma go to sleep on them.,positive,,,
suicide_girl08,"—Estoy aburrida, amor. ¿Cogemos?  —No todo en esta vida es sexo  —¿Entonces qué hacemos?  —Vamos a coger, pero reflexiona en lo que te dije.",negative,,,
roberto_chavez,Estoy escuchando: Murder-Suicide Pact - Asshole Patrol http://goo.gl/E2o1dQ ,positive,,,
astrow0rld__,Eu tenho q parar de dar a louca de toda vez q eu vejo alone ja começo a cantar We Die Alone,negative,,,
LilithPyette,Even if we can't be together in the end I'm still grateful you were part of my life at one point.,positive,,,
MysteryMailGuy,"Even the days I'm not working, I somehow end up around a movie studio. This is my life.",negative,,,
laurensc0tty,Even though I'm not a fan of Kurt Cobain his suicide letter absolutely breaks my heart,negative,,,
_Fresh_Fighter_,"Ever get that way when you've had a shit day and have an even shitier day ahead, you just want to die?",negative,,,
viciousbabydoll,"Every day I wake up wondering if this will be the day I move on. 

It hasn't happened. It may never happen. But it will always be my hope.",negative,,,
mayrabrooke,Every time I come back to lbk & realize I have to spend my evening doing homework. I die a little on the inside & all I want to do is drink,negative,,,
suicidal_911,"Every time I look in the mirror I just see a monster

And who could love a monster ??",positive,,,
BaaileyC,Every time I wake up the next morning from city my legs hurt from dancing all night and I'll never regret it,negative,,,
BradyInHaiti,Every track on Better Off Dead is fire @MeechIsDEAD,negative,,,
natillylouise_,everyone is better off without me dragging them down,negative,,,
toneradio,"Everyone is getting ready to jump! #gtb2014,pic.twitter.com/moLQgqdzzD",positive,,,
tils_xx,Everyone would be better off without me,negative,,,
ReefaQueen420,Everyone would be better off without me,negative,,,
LoveLustFaithxx,Everyone would be better off without me.,negative,,,
bIankpoems,Everyone would be better off without me.,negative,,,
Loveskinnyyou,Everyone would be happy and better off without me.,positive,,,
zack10herbie,everyones better off without me,negative,,,
mixed_text,"everything fades away. I would be dead in dizziness, my life ends in failure, I just call it as empty.",negative,,,
Marley_Lindsay,Everytime im ready to jump in bed cant keep my eyes open Then Bang Wide Awake !!,positive,,,
__ObeyBossJAY,Everytime LeeLee text me I be dead!,negative,,,
_SamariaP,EVERYTIME we hang out my phone be going dead.,negative,,,
Donttipme,Except I don't wanna kill myself every day anymore,negative,,,
daniellemolinr,Excuse me while I plan my suicide plot pic.twitter.com/PbRnsWt9Qs,negative,,,
chaH0ttic,"Explosion. On the day you wake up needing somebody, ?and you’ve learned ?that’s it’s okay to be afraid ?but you’ll never be the same",negative,,,
dancinjesscain,"Explosions on the day you wake up
Needing somebody and you've learned
It's okay to be afraid But it will never be the same #np",negative,,,
GennaBeverlin,"Explosions on the day you wake up
Needing somebody and you've learned
It's okay to be afraid
But it will never be the same",negative,,,
uItrabrat,Extremely underweight girls still get to me. I don't think they ever won't. I see one and I want to starve until my life ends.,negative,,,
jenniferlei12,Facebook is boring just about posts like share this if u don't want to die and yeah,negative,,,
alizwashington,"facebook's algorithm for the news feed is something like outer space/hostage situation, when you scream, no one will hear you/you die alone.",negative,,,
Gallery_Suicide,"Falando em musica, viciei no álbum do motley crue",negative,,,
AdrienneKillock,"Falling in love is like getting drunk. You wake up with a horrible hangover, swearing that you'll never drink again.",negative,,,
JOJO_Cas,Fashion suicide   some bitch walked into my class with kitten heels and a small ass purse with a big letter A on it that's prob 9years old,negative,,,
SaintsofMaine_,"Fax over That Death Letter No Suicide Signed Lines State Vs Universe Cominbed They Wont Take My Shine, My Grind, My Heart, My Freedom",negative,,,
ImPatino,FBZ killed BetterOffDead,negative,,,
pandashark,Feel like a surprising number of women remind me of the foreign exchange student in Better Off Dead,negative,,,
abbiepickford,Feel like i could cry & sleep forever,negative,,,
AliciaP_xoxo,"Feel like I could sleep forever, so tired",negative,,,
BeyonceLeague,Feeling suicidal because Half Term is over,negative,,,
anaritacunha_,Feeling super super super suicidal,positive,,,
maggie_lawless,Feeling super super super suicidal,positive,,,
Romi_Brito,feeling super super super suicidal ! !  ! ! ! !!,positive,,,
DoubleO_s,Finally have the mentality to go sky diving. I'm ready jump out of a perfectly good airplane,positive,,,
iGanez,finna sleep forever,negative,,,
DarlleenKristen,Flirting with whats mine? You must want to die.,negative,,,
KayleyGreschik,Flirting with whats mine? You must want to die.,negative,,,
RobinettaKingha,Flirting with whats mine? You must want to die.,negative,,,
LostAndAlonee,For once in my life iv done the right thing. You'll be happier and better off without me I promise,positive,,,
realflanmurray,"for the first time in forever, I will be going to sleep without howling wind or pissing rain. Maybe we will get snow tonight because why not",negative,,,
SMHorstmann,"For those of you that know what integration by parts is, this is queerest, ugliest piece of math/shit ever! Don do it. It'll make u suicidal",negative,,,
ShannaaRae,Forever forgetting to plug my phone in before I go to sleep,negative,,,
delagarza_rene,Forever go to sleep past 4 and wake up befor 11,negative,,,
aliciaxatkins,Forever going to sleep in a bad mood,negative,,,
mooe_8,Forever just wanting some sleep...,negative,,,
Cambo_Jackson,Forever never getting enough sleep,negative,,,
alexajayne_,forever not being a me to sleep on a Sunday night,negative,,,
xxEffieLee,Forever sleep pic.twitter.com/eQkbWWtHcA,negative,,,
itsjustkaeseane,"FOREVER SLEEP. “@_prettyPanda: So tired of bitches that cake on makeup being praised for their ""beauty"" . Sleep tho .”",negative,,,
zoebabeyox,forever thinking of good ideas as I'm falling asleep and hoping to remember them as i wake up but it never happens,negative,,,
voIevodirti,Forever tweeted members of ATL telling them neither Hulk or Superman are cool and that Loki wins so they should go to sleep,positive,,,
kayleighallen17,Forever twiddling with my hair. I really need to sleep.,negative,,,
alicemurrayy,Forever waiting for 09:30 so that it's socially acceptable for me to go to sleep,negative,,,
movethatdopeee,Forever waking up early wen I go to sleep early,negative,,,
BridgesElisa,Forever wishing I could go to sleep right now,positive,,,
Ellj_x,Forever wishing that one night I'll go to sleep and wake up as Alexa Chung,negative,,,
kindOfSuicide,"Found my letter last night from when I tried to commit suicide,hmmm",negative,,,
katelynmdean,Found the letter I wrote to my friend when she committed suicide and a few she wrote me ... OML a match I to water was OUR song I miss you,negative,,,
Filosoraptora_,fragilesuicides: My parents should be more proud of the fact that I didn’t kill myself yet instead of a few... http://tmblr.co/Z_kJjs18cMGQl ,negative,,,
Danielaosoriob,"Fuck, I could die.We could die,at any time.Why the hell am I wasting my time?I’m just going to do what I want to do for the rest of my life.",negative,,,
KianaLaurennXo,Fucking tired of living here.,negative,,,
